1779111249628|347|statement|connection 0|url jdbc:p6spy:mysql://recad-database.cro6oe8ocg9a.us-east-2.rds.amazonaws.com:3306/recad|select se1_0.id,se1_0.direccion,se1_0.embedding,se1_0.horario,se1_0.nombre,se1_0.servicios,se1_0.telefono from sucursales se1_0 where upper(se1_0.nombre) like upper(?) escape '\\' or upper(se1_0.direccion) like upper(?) escape '\\' or upper(se1_0.horario) like upper(?) escape '\\' limit ?|select se1_0.id,se1_0.direccion,se1_0.embedding,se1_0.horario,se1_0.nombre,se1_0.servicios,se1_0.telefono from sucursales se1_0 where upper(se1_0.nombre) like upper('%viña%') escape '\\' or upper(se1_0.direccion) like upper('%viña%') escape '\\' or upper(se1_0.horario) like upper('%viña%') escape '\\' limit 5
1779111315251|198|statement|connection 0|url jdbc:p6spy:mysql://recad-database.cro6oe8ocg9a.us-east-2.rds.amazonaws.com:3306/recad|select se1_0.id,se1_0.direccion,se1_0.embedding,se1_0.horario,se1_0.nombre,se1_0.servicios,se1_0.telefono from sucursales se1_0 where upper(se1_0.nombre) like upper(?) escape '\\' or upper(se1_0.direccion) like upper(?) escape '\\' or upper(se1_0.horario) like upper(?) escape '\\' limit ?|select se1_0.id,se1_0.direccion,se1_0.embedding,se1_0.horario,se1_0.nombre,se1_0.servicios,se1_0.telefono from sucursales se1_0 where upper(se1_0.nombre) like upper('%cuales%') escape '\\' or upper(se1_0.direccion) like upper('%cuales%') escape '\\' or upper(se1_0.horario) like upper('%cuales%') escape '\\' limit 5
1779111315561|300|statement|connection 0|url jdbc:p6spy:mysql://recad-database.cro6oe8ocg9a.us-east-2.rds.amazonaws.com:3306/recad|select se1_0.id,se1_0.direccion,se1_0.embedding,se1_0.horario,se1_0.nombre,se1_0.servicios,se1_0.telefono from sucursales se1_0 where upper(se1_0.nombre) like upper(?) escape '\\' or upper(se1_0.direccion) like upper(?) escape '\\' or upper(se1_0.horario) like upper(?) escape '\\' limit ?|select se1_0.id,se1_0.direccion,se1_0.embedding,se1_0.horario,se1_0.nombre,se1_0.servicios,se1_0.telefono from sucursales se1_0 where upper(se1_0.nombre) like upper('%son%') escape '\\' or upper(se1_0.direccion) like upper('%son%') escape '\\' or upper(se1_0.horario) like upper('%son%') escape '\\' limit 5
1779111315770|197|statement|connection 0|url jdbc:p6spy:mysql://recad-database.cro6oe8ocg9a.us-east-2.rds.amazonaws.com:3306/recad|select se1_0.id,se1_0.direccion,se1_0.embedding,se1_0.horario,se1_0.nombre,se1_0.servicios,se1_0.telefono from sucursales se1_0 where upper(se1_0.nombre) like upper(?) escape '\\' or upper(se1_0.direccion) like upper(?) escape '\\' or upper(se1_0.horario) like upper(?) escape '\\' limit ?|select se1_0.id,se1_0.direccion,se1_0.embedding,se1_0.horario,se1_0.nombre,se1_0.servicios,se1_0.telefono from sucursales se1_0 where upper(se1_0.nombre) like upper('%nombre%') escape '\\' or upper(se1_0.direccion) like upper('%nombre%') escape '\\' or upper(se1_0.horario) like upper('%nombre%') escape '\\' limit 5
1779111427077|202|statement|connection 0|url jdbc:p6spy:mysql://recad-database.cro6oe8ocg9a.us-east-2.rds.amazonaws.com:3306/recad|SELECT @@character_set_database, @@sql_mode|SELECT @@character_set_database, @@sql_mode
1779111446116|203|statement|connection 0|url jdbc:p6spy:mysql://recad-database.cro6oe8ocg9a.us-east-2.rds.amazonaws.com:3306/recad|select se1_0.id,se1_0.direccion,se1_0.embedding,se1_0.horario,se1_0.nombre,se1_0.servicios,se1_0.telefono from sucursales se1_0 where upper(se1_0.nombre) like upper(?) escape '\\' or upper(se1_0.direccion) like upper(?) escape '\\' or upper(se1_0.horario) like upper(?) escape '\\' limit ?|select se1_0.id,se1_0.direccion,se1_0.embedding,se1_0.horario,se1_0.nombre,se1_0.servicios,se1_0.telefono from sucursales se1_0 where upper(se1_0.nombre) like upper('%cuales%') escape '\\' or upper(se1_0.direccion) like upper('%cuales%') escape '\\' or upper(se1_0.horario) like upper('%cuales%') escape '\\' limit 5
1779111446317|185|statement|connection 0|url jdbc:p6spy:mysql://recad-database.cro6oe8ocg9a.us-east-2.rds.amazonaws.com:3306/recad|select se1_0.id,se1_0.direccion,se1_0.embedding,se1_0.horario,se1_0.nombre,se1_0.servicios,se1_0.telefono from sucursales se1_0 where upper(se1_0.nombre) like upper(?) escape '\\' or upper(se1_0.direccion) like upper(?) escape '\\' or upper(se1_0.horario) like upper(?) escape '\\' limit ?|select se1_0.id,se1_0.direccion,se1_0.embedding,se1_0.horario,se1_0.nombre,se1_0.servicios,se1_0.telefono from sucursales se1_0 where upper(se1_0.nombre) like upper('%son%') escape '\\' or upper(se1_0.direccion) like upper('%son%') escape '\\' or upper(se1_0.horario) like upper('%son%') escape '\\' limit 5
1779111446521|191|statement|connection 0|url jdbc:p6spy:mysql://recad-database.cro6oe8ocg9a.us-east-2.rds.amazonaws.com:3306/recad|select se1_0.id,se1_0.direccion,se1_0.embedding,se1_0.horario,se1_0.nombre,se1_0.servicios,se1_0.telefono from sucursales se1_0 where upper(se1_0.nombre) like upper(?) escape '\\' or upper(se1_0.direccion) like upper(?) escape '\\' or upper(se1_0.horario) like upper(?) escape '\\' limit ?|select se1_0.id,se1_0.direccion,se1_0.embedding,se1_0.horario,se1_0.nombre,se1_0.servicios,se1_0.telefono from sucursales se1_0 where upper(se1_0.nombre) like upper('%nombre%') escape '\\' or upper(se1_0.direccion) like upper('%nombre%') escape '\\' or upper(se1_0.horario) like upper('%nombre%') escape '\\' limit 5
1779111502119|343|statement|connection 0|url jdbc:p6spy:mysql://recad-database.cro6oe8ocg9a.us-east-2.rds.amazonaws.com:3306/recad|SELECT @@character_set_database, @@sql_mode|SELECT @@character_set_database, @@sql_mode
1779111534368|159|statement|connection 0|url jdbc:p6spy:mysql://recad-database.cro6oe8ocg9a.us-east-2.rds.amazonaws.com:3306/recad|SELECT @@character_set_database, @@sql_mode|SELECT @@character_set_database, @@sql_mode
